Prefix	Description
210.26.0.0/15	China Education and Research Network China
210.26.0.0/20	North-West Minorites University China
210.26.16.0/21	Lanzhou Poly Technical College China
210.26.16.0/24	Lanzhou Poly Technical College China
210.26.17.0/24	Lanzhou Poly Technical College China
210.26.18.0/24	Lanzhou Poly Technical College China
210.26.19.0/24	Lanzhou Poly Technical College China
210.26.24.0/21	Tianshui Normal College China
210.26.24.0/24	Tianshui Normal College China
210.26.32.0/21	Office Of Self-taught Examination In Gansu Province China
210.26.48.0/20	Lanzhou University China
210.26.64.0/24	Gansu Law Institute China
210.26.72.0/21	Hezuo Minorities Teachers College China
210.26.72.0/24	Hezuo Minorities Teachers College China
210.26.76.0/24	Hezuo Minorities Teachers College China
210.26.77.0/24	Hezuo Minorities Teachers College China
210.26.78.0/24	Hezuo Minorities Teachers College China
210.26.79.0/24	Hezuo Minorities Teachers College China
210.26.80.0/20	Gansu College Of Traditional Chinese Medicine China
210.26.80.0/24	Gansu College Of Traditional Chinese Medicine China
210.26.82.0/24	Gansu College Of Traditional Chinese Medicine China
210.26.96.0/20	Northwest Normal University China
210.26.111.0/24	Northwest Normal University China
210.26.112.0/20	Lanzhou Medical College China
210.26.128.0/17	China Education and Research Network China
210.26.144.0/24	Urumqi Vocational College China
210.26.147.0/24	Urumqi Vocational College China
210.26.148.0/24	Urumqi Vocational College China
210.26.151.0/24	Urumqi Vocational College China
210.26.168.0/24	Xingjinang Medical University China
210.26.176.0/24	Talimu Agricultural Reclamation University China
210.26.181.0/24	Talimu Agricultural Reclamation University China
210.26.182.0/24	Talimu Agricultural Reclamation University China
210.26.183.0/24	Talimu Agricultural Reclamation University China
210.26.184.0/24	Talimu Agricultural Reclamation University China
210.26.185.0/24	Talimu Agricultural Reclamation University China
210.26.192.0/24	Xinjiang Agricultural School China
210.26.216.0/21	Xinjiang Education Institute China
210.26.230.0/24	Education Committee Of Xinjiang Autonomous Region China
210.27.0.0/20	Xidian University China
210.27.32.0/20	Northwest University China
210.27.48.0/22	Xi'an JUMP Network Research Institute China
210.27.56.0/21	Tsinghua Univ. China
210.27.80.0/20	Northwest Science & Technology University of Agriculture & Forestry China
210.27.80.0/24	Northwest Science & Technology University of Agriculture & Forestry China
210.27.81.0/24	Northwest Science & Technology University of Agriculture & Forestry China
210.27.82.0/24	Northwest Science & Technology University of Agriculture & Forestry China
210.27.83.0/24	Northwest Science & Technology University of Agriculture & Forestry China
210.27.84.0/24	Northwest Science & Technology University of Agriculture & Forestry China
210.27.96.0/20	China Education and Research Network China
210.27.112.0/21	Agriculture Institute Of Shaanxi China
210.27.128.0/20	Qinghai Radio & Television University China
210.27.128.0/24	Qinghai Radio & Television University China
210.27.131.0/24	Qinghai Radio & Television University China
210.27.133.0/24	Qinghai Radio & Television University China
210.27.135.0/24	Qinghai Radio & Television University China
210.27.143.0/24	Qinghai Radio & Television University China
210.27.144.0/21	Qinghai Normal University China
210.27.144.0/24	Qinghai Normal University China
210.27.148.0/24	Qinghai Normal University China
210.27.150.0/24	Qinghai Normal University China
210.27.152.0/22	Qinghai Education and Research Network Center China
210.27.153.0/24	Qinghai Education and Research Network Center China
210.27.160.0/19	China Education and Research Network China
210.27.160.0/21	Qinghai Medical college China
210.27.160.0/24	Qinghai Medical college China
210.27.161.0/24	Qinghai Medical college China
210.27.168.0/21	Qinghai Junior Teacher~{!/~}s College China
210.27.175.0/24	Qinghai Junior Teacher~{!/~}s College China
210.27.176.0/20	Qinghai University China
210.27.176.0/24	Qinghai University China
210.27.177.0/24	Qinghai University China
210.27.178.0/24	Qinghai University China
210.27.179.0/24	Qinghai University China
210.27.181.0/24	Qinghai University China
210.27.182.0/24	Qinghai University China
210.27.184.0/24	Qinghai University China
210.27.192.0/20	Wang Tai Campus of Ningxia University China
210.27.208.0/22	Ningxia finance and economics school China
210.27.208.0/24	Ningxia finance and economics school China
210.27.216.0/24	Ningxia police school China
210.27.224.0/20	Ningxia University China
210.27.240.0/20	Ning Xia Radio & TV University China
210.27.242.0/24	Ning Xia Radio & TV University China
210.27.253.0/24	Ning Xia Radio & TV University China
210.28.0.0/14	China Education and Research Network China
210.28.0.0/20	China Education and Research Network China
210.28.8.0/21	Nanjing Chemical Engineering Junior College China
210.28.8.0/24	Nanjing Chemical Engineering Junior College China
210.28.16.0/20	Jiangnan University China
210.28.31.0/24	Jiangnan University China
210.28.32.0/20	Huaihai Institute Of Technology China
210.28.32.0/24	Huaihai Institute Of Technology China
210.28.37.0/24	Huaihai Institute Of Technology China
210.28.48.0/21	Nanjing Arts College China
210.28.48.0/24	Nanjing Arts College China
210.28.56.0/21	Zhenjiang Teachers' College China
210.28.64.0/20	Soochow University China
210.28.80.0/21	Nanjing University Of Economics China
210.28.80.0/24	Nanjing University Of Economics China
210.28.88.0/22	Nanjing University of Posts and Telecommunications China
210.28.89.0/24	Nanjing University of Posts and Telecommunications China
210.28.92.0/23	Nanjing Audit Institute China
210.28.92.0/24	Nanjing Audit Institute China
210.28.93.0/24	Nanjing Audit Institute China
210.28.95.0/24	Nanjing Xiaozhuang Normal School China
210.28.96.0/20	Nanjing College Of Mechanical & Electrical Engineering China
210.28.110.0/24	Nanjing College Of Mechanical & Electrical Engineering China
210.28.112.0/21	Suzhou Railway Teachers College China
210.28.120.0/22	Suzhou Experimentary Primary School China
210.28.128.0/20	Nanjing University China
210.28.129.0/24	Nanjing University China
210.28.144.0/20	Wuxi Institute of Technology China
210.28.144.0/24	Wuxi Institute of Technology China
210.28.160.0/21	Changshu College China
210.28.160.0/24	Changshu College China
210.28.168.0/22	Nanjing Railway Transport School China
210.28.168.0/24	Nanjing Railway Transport School China
210.28.176.0/21	Yancheng Teachers College China
210.28.184.0/21	Nanjing Polytechnic College China
210.28.184.0/24	Nanjing Polytechnic College China
210.28.192.0/20	Nanjing Archtectural And Civil Engineering Institute China
210.28.203.0/24	Nanjing Archtectural And Civil Engineering Institute China
210.28.208.0/21	Jiangsu College Of Public Security China
210.28.216.0/21	Jiangsu Radio and Television University China
210.28.216.0/24	Jiangsu Radio and Television University China
210.28.224.0/19	China Education and Research Network China
210.28.234.0/24	Nantong Textile Engineering College China
210.29.0.0/20	Suzhou Institute Of Urban Construction & Environmental Protection China
210.29.0.0/24	Suzhou Institute Of Urban Construction & Environmental Protection China
210.29.16.0/20	Nanjing Institute Of Mechanical Technology China
210.29.32.0/19	China Education and Research Network China
210.29.62.0/24	CERNET East China North regional Network Center China
210.29.63.0/24	CERNET East China North regional Network Center China
210.29.64.0/20	Nantong Teachers College China
210.29.64.0/24	Nantong Teachers College China
210.29.88.0/21	Zhenjiang College China
210.29.96.0/19	China Education and Research Network China
210.29.96.0/20	Hohai University, Changzhou China
210.29.96.0/24	Hohai University, Changzhou China
210.29.112.0/24	Nanjing Radio & Television University China
210.29.113.0/24	Nanjing Radio & Television University China
210.29.128.0/20	Nanjin Normal University China
210.29.144.0/22	Nanjing Normal College China
210.29.148.0/22	Nantong School Of Supply & Marketing China
210.29.148.0/24	Nantong School Of Supply & Marketing China
210.29.152.0/21	Huaiyin Industry College China
210.29.152.0/24	Huaiyin Industry College China
210.29.160.0/21	Nanjing Industry School China
210.29.168.0/21	Suzhou Medical College China
210.29.168.0/24	Suzhou Medical College China
210.29.176.0/20	Nantong Agricultural College China
210.29.192.0/19	China Education and Research Network China
210.29.192.0/24	Changzhou Teachers College Of Technology China
210.29.208.0/21	Jiangsu Yancheng Textile Engineering School China
210.29.208.0/24	Jiangsu Yancheng Textile Engineering School China
210.29.224.0/21	Huaiyin Institute Of Electronic Engineering China
210.29.232.0/21	Jiangsu Animal Husbandry & Veterinary College China
210.29.233.0/24	Jiangsu Animal Husbandry & Veterinary College China
210.29.240.0/20	Nanjing University China
210.30.0.0/16	China Education and Research Network China
210.30.0.0/20	Dalian Nationalities University China
210.30.0.0/24	Dalian Nationalities University China
210.30.16.0/22	CERNET~{4sA,=Z5cMxBgVPPD~} China
210.30.16.0/24	CERNET~{4sA,=Z5cMxBgVPPD~} China
210.30.18.0/24	CERNET~{4sA,=Z5cMxBgVPPD~} China
210.30.32.0/20	Dalian University Of Foreign Language China
210.30.32.0/24	Dalian University Of Foreign Language China
210.30.36.0/24	Dalian University Of Foreign Language China
210.30.37.0/24	Dalian University Of Foreign Language China
210.30.48.0/20	DaLian Institute of Light Industry China
210.30.48.0/24	DaLian Institute of Light Industry China
210.30.64.0/20	Dalian Fisheries University China
210.30.64.0/24	Dalian Fisheries University China
210.30.80.0/20	Dalian Vocational and Technical College China
210.30.80.0/24	Dalian Vocational and Technical College China
210.30.81.0/24	Dalian Vocational and Technical College China
210.30.82.0/24	Dalian Vocational and Technical College China
210.30.96.0/20	Dalian University of Technology China
210.30.112.0/20	Dongbei University of Finance & Economics China
210.30.114.0/24	Dongbei University of Finance & Economics China
210.30.128.0/20	Jinzhou Medical College China
210.30.128.0/24	China
210.30.152.0/21	Shenyang Institute of Physical Education China
210.30.168.0/21	Tsinghua Univ. China
210.30.184.0/21	Liaoning Institute of Technology China
210.30.184.0/24	Liaoning Institute of Technology China
210.30.192.0/20	China Education and Research Network China
210.30.208.0/20	Shenyang Normal University China
210.30.208.0/21	Shenyang Normal University China
210.30.224.0/23	Benxi College of Metallurgy China
210.30.224.0/24	Benxi College of Metallurgy China
210.30.232.0/21	LUXUN ACADEMY OF FINE ARTS China
210.30.232.0/24	China
210.31.0.0/20	Centre University For Nationalities China
210.31.32.0/20	Beijing Institute Of Petro-chemical Technology China
210.31.32.0/24	Beijing Institute Of Petro-chemical Technology China
210.31.48.0/20	The Chinese People's Public Security University China
210.31.64.0/20	Beijing Normal University China
210.31.96.0/19	China Education and Research Network China
210.31.96.0/22	The Jindongnan Teachers' College China
210.31.96.0/24	The Jindongnan Teachers' College China
210.31.100.0/22	The College Attached To North China Institute Of Technology China
210.31.100.0/24	The College Attached To North China Institute Of Technology China
210.31.104.0/21	Taiyuan Heavy Machinery Institute China
210.31.104.0/24	Taiyuan Heavy Machinery Institute China
210.31.112.0/24	Shanxi University Of Finance & Economics China
210.31.128.0/17	China Education and Research Network China
210.31.128.0/20	Tianjin University Of Light Industry China
210.31.128.0/21	Tianjin University Of Light Industry China
210.31.128.0/24	China
210.31.136.0/21	Tianjin University Of Light Industry China
210.31.141.0/24	Tianjin University Of Light Industry China
210.31.142.0/24	Tianjin University Of Light Industry China
210.31.160.0/20	China Youth College For Political Science China
210.31.176.0/20	Inner Mongolia Normal University China
210.31.176.0/24	Inner Mongolia Normal University China
210.31.191.0/24	Inner Mongolia Normal University China
210.31.192.0/18	China Education and Research Network China
210.31.199.0/24	Hebei Institute Of Technology China
210.31.200.0/21	Hebei Vacational Technical Teacher's Colloge China
210.31.200.0/24	Hebei Vacational Technical Teacher's Colloge China
210.31.208.0/21	Chengde Petroleum College China
210.31.224.0/20	North China Institute Of Astronautic Engineering China
210.31.224.0/24	China
210.31.248.0/21	Shijiazhuang Teachers College China
210.31.248.0/24	China
210.32.0.0/12	Asia Pacific Network Information Centre China
210.32.0.0/16	China Education and Research Network China
210.32.0.0/20	Zhejiang University (merged former Zhejiang Medical University) China
210.32.0.0/24	Zhejiang University (merged former Zhejiang Medical University) China
210.32.2.0/24	Zhejiang University (merged former Zhejiang Medical University) China
210.32.5.0/24	Zhejiang University (merged former Zhejiang Medical University) China
210.32.16.0/22	Zhejiang College of Traditional Chinese Medicine China
210.32.20.0/22	Zhejiang Institute of Finance and Economics China
210.32.23.0/24	Zhejiang Institute of Finance and Economics China
210.32.24.0/22	Zhejiang Sichou Institute of Technology China
210.32.28.0/22	Zhejiang Fisheries College China
210.32.32.0/21	HangZhou Institute of Electronic Engineering China
210.32.32.0/24	HangZhou Institute of Electronic Engineering China
210.32.40.0/22	Hangzhou Teacher's College China
210.32.48.0/22	Hangzhou Radio and TV University China
210.32.48.0/24	Hangzhou Radio and TV University China
210.32.64.0/22	Zhejiang University City College China
210.32.65.0/24	Zhejiang University City College China
210.32.68.0/22	Jinhua College Of Profession And Technology China
210.32.72.0/22	Hangzhou Teachers' college qianjiang college China
210.32.76.0/22	Jiaxing Vocational Technical College China
210.32.80.0/21	Taizhou Teachers' College China
210.32.96.0/21	Shaoxing College Of Arts and Sciences China
210.32.104.0/22	Educational Technology Center of Zhejiang Province China
210.32.108.0/23	Educational Technology Center of Zhejiang Province China
210.32.112.0/21	Zhejiang University of Technology China
210.32.128.0/18	China Education and Research Network China
210.32.156.0/24	Zhejiang University China
210.32.157.0/24	China
210.32.175.0/24	Zhejiang Agricultural University China
210.32.200.0/21	Zhejiang University Of Technology China
210.32.206.0/24	Zhejiang University Of Technology China
210.32.207.0/24	Zhejiang University Of Technology China
210.32.208.0/20	Ningbo Educational Bureau China
210.33.0.0/16	China Education and Research Network China
210.33.4.0/22	Hangzhou Institute of Application Technology China
210.33.8.0/22	Ningbo College China
210.33.16.0/21	Ningbo University China
210.33.16.0/24	Ningbo University China
210.33.22.0/24	Ningbo University China
210.33.24.0/24	Shaoxing Arts & Science College China
210.33.25.0/24	Shaoxing Arts & Science College China
210.33.26.0/24	Shaoxing Arts & Science College China
210.33.27.0/24	Shaoxing Arts & Science College China
210.33.28.0/22	Jiaxing College China
210.33.28.0/24	Jiaxing College China
210.33.29.0/24	Jiaxing College China
210.33.32.0/22	Zhejiang Jiaxing Economic College China
210.33.40.0/21	China Education and Research Network China
210.33.40.0/22	China Institute of Metrology China
210.33.40.0/24	China Institute of Metrology China
210.33.44.0/22	Wenzhou University China
210.33.44.0/24	China
210.33.46.0/23	Wenzhou University China
210.33.48.0/22	Zhe Jiang Wanli University (former Zhejiang Rural Teachers College of Technology) China
210.33.52.0/22	Wenzhou Medical College China
210.33.60.0/22	Zhejiang Forestry College China
210.33.64.0/22	Zhejiang TV University at Xiaoshan China
210.33.72.0/22	Zhejiang Water Conservancy & Hydropower College China
210.33.80.0/21	Zhejiang Normal University China
210.33.88.0/21	Hangzhou Institute of Commerce China
210.33.88.0/24	China
210.33.98.0/23	Zhejiang Yiwu High School China
210.33.102.0/23	Yiwu City Education Commission China
210.33.116.0/22	Zhejiang Broadcast Television University China
210.33.124.0/22	China Academy Of Art China
210.33.142.0/24	China
210.33.152.0/22	Zhejiang Economic & Trade Polytechnic China
210.33.152.0/24	Zhejiang Economic & Trade Polytechnic China
210.33.156.0/22	Zhejiang Vocational and Technical Institute of Transportation China
210.33.156.0/24	Zhejiang Vocational and Technical Institute of Transportation China
210.33.168.0/21	Zhejiang Institute of Media and Communications China
210.33.176.0/20	Taizhou University China
210.33.248.0/21	China Education and Research Network China
210.34.0.0/16	China Education and Research Network China
210.34.0.0/20	Xiamen University China
210.34.0.0/24	Xiamen University China
210.34.3.0/24	Xiamen University China
210.34.4.0/24	Xiamen University China
210.34.11.0/24	Xiamen University China
210.34.14.0/24	Xiamen University China
210.34.15.0/24	Xiamen University China
210.34.16.0/21	Xiamen University China
210.34.18.0/24	Xiamen University China
210.34.24.0/24	Ningde Teachers'college China
210.34.32.0/19	China Education and Research Network China
210.34.32.0/20	Fujian Teachers University China
210.34.32.0/24	China
210.34.47.0/24	Fujian Teachers University China
210.34.48.0/20	Fuzhou University China
210.34.48.0/24	China
210.34.64.0/20	Fujian University of Traditional Chinese Medicine China
210.34.64.0/24	China
210.34.70.0/24	China
210.34.80.0/20	Fujian Agricultural University China
210.34.80.0/24	China
210.34.96.0/20	Fujian Medical University China
210.34.96.0/24	China
210.34.112.0/21	Fujian Public Security College China
210.34.112.0/24	China
210.34.120.0/21	Quanzhou Teachers' College China
210.34.120.0/24	Quanzhou Teachers' College China
210.34.128.0/19	China Education and Research Network China
210.34.128.0/24	Jimei Navigation Institude China
210.34.160.0/20	Xiamen Fisheries Institude China
210.34.176.0/20	Fujian Province Educational Commission China
210.34.192.0/21	Fujian Institute of Civil Engineering China
210.34.192.0/24	China
210.34.208.0/22	Xiamen Medical College China
210.34.212.0/22	Lujiang University China
210.34.216.0/22	CERNET~{8#=(J!MxBgVPPD~} China
210.34.232.0/21	General Office Of Fujian Higher Educational Colleges & China
210.34.240.0/20	National Huaqiao University China
210.34.240.0/24	National Huaqiao University China
210.35.0.0/16	China Education and Research Network China
210.35.0.0/22	Nanchang Water Resource College China
210.35.0.0/24	China
210.35.4.0/22	High-academy Recruiting-students Committee Office Of Jiangxi China
210.35.6.0/24	High-academy Recruiting-students Committee Office Of Jiangxi China
210.35.8.0/21	Nanchang Normal University China
210.35.8.0/24	China
210.35.16.0/21	Jiujiang Teachers Collego China
210.35.24.0/21	NANCHANG VOCATIONAL&TECHNICAL TEACHERS' COLLEGE China
210.35.24.0/24	China
210.35.32.0/20	Nanchang Institute of Aero-Tech China
210.35.32.0/24	China
210.35.48.0/20	Ease China Jiaoitong university China
210.35.48.0/24	China
210.35.64.0/24	Shanghai College of Metallurgy China
210.35.66.0/24	Shanghai College of Metallurgy China
210.35.68.0/24	China
210.35.72.0/24	China
210.35.74.0/24	China
210.35.80.0/24	China
210.35.88.0/24	China
210.35.96.0/24	China
210.35.100.0/22	Lixin Accounting Institute China
210.35.100.0/24	China
210.35.101.0/24	Lixin Accounting Institute China
210.35.104.0/24	China
210.35.112.0/24	China
210.35.128.0/20	Jiangxi Agricultural University China
210.35.128.0/24	China
210.35.144.0/21	Jiangxi Medical University China
210.35.144.0/24	Jiangxi Medical University China
210.35.152.0/24	Jiangxi Clothing Professional Technology Institute China
210.35.153.0/24	Jiangxi Vocational College of Ahead Software China
210.35.154.0/24	Jiangxi Communications Vocational Technical College China
210.35.155.0/24	Jiangxi City Vocational Institute China
210.35.160.0/21	Jiangxi Normal University China
210.35.160.0/24	China
210.35.168.0/22	Jiangxi Education and Research Network Center China
210.35.172.0/22	Blue Sky Vocational Technology Institute China
210.35.172.0/24	China
210.35.176.0/24	Jiangxi Institute Of Traditional Chinese Medicine China
210.35.184.0/21	CERNET~{;*6+DO5XGxDO2}Vw=Z5c~} China
210.35.192.0/20	Jiangxi University Of Finance And Economics China
210.35.192.0/24	China
210.35.224.0/20	Jiangxi Radio&tv University China
210.35.224.0/24	China
210.35.240.0/20	Nanchang University China
210.35.240.0/24	Nanchang University China
210.36.0.0/16	China Education and Research Network China
210.36.0.0/22	The Education Commission of Guangxi Zhuang Autonomous Region China
210.36.4.0/24	Guangxi Education and Reserch Network China
210.36.16.0/24	Guangxi University China
210.36.17.0/24	Guangxi University China
210.36.18.0/24	Guangxi University China
210.36.19.0/24	Guangxi University China
210.36.20.0/24	Guangxi University China
210.36.21.0/24	Guangxi University China
210.36.22.0/24	Guangxi University China
210.36.23.0/24	Guangxi University China
210.36.24.0/24	Guangxi University China
210.36.25.0/24	Guangxi University China
210.36.26.0/24	Guangxi University China
210.36.28.0/24	Guangxi University China
210.36.29.0/24	Guangxi University China
210.36.48.0/23	Guangxi Medical University China
210.36.50.0/24	Guangxi Medical University China
210.36.64.0/24	Guangxi University for Nationalities China
210.36.80.0/24	Guangxi Teacher's College China
210.36.96.0/20	Guangxi College of Traditional Chinese Medicine China
210.36.99.0/24	Guangxi College of Traditional Chinese Medicine China
210.36.100.0/24	Guangxi College of Traditional Chinese Medicine China
210.36.101.0/24	Guangxi College of Traditional Chinese Medicine China
210.36.102.0/24	Guangxi College of Traditional Chinese Medicine China
210.36.128.0/21	Guangxi Finance College China
210.36.128.0/24	Guangxi Finance College China
210.36.136.0/21	Guangxi Commercial College China
210.36.136.0/24	Guangxi Commercial College China
210.36.144.0/20	GuangXi Technological College of Machinery and Electricity China
210.36.144.0/24	GuangXi Technological College of Machinery and Electricity China
210.36.200.0/24	Wuzhou Branch Guangxi University China
210.36.214.0/23	Guangxi Arts College China
210.36.240.0/21	Yulin Teachers College China
210.36.254.0/24	Guangxi Examination And Enrollment Administration China
210.37.0.0/16	China Education and Research Network China
210.37.0.0/20	Hainan Normal University China
210.37.0.0/24	Hainan Normal University China
210.37.10.0/24	Hainan Normal University China
210.37.11.0/24	Hainan Normal University China
210.37.14.0/24	Hainan Normal University China
210.37.24.0/22	Hainan Education Information Management System China
210.37.28.0/24	Hainan Network Center China
210.37.29.0/24	Hainan Network Center China
210.37.30.0/24	Hainan Network Center China
210.37.31.0/24	Hainan Network Center China
210.37.32.0/20	Hainan University China
210.37.32.0/24	Hainan University China
210.37.33.0/24	Hainan University China
210.37.34.0/24	Hainan University China
210.37.35.0/24	Hainan University China
210.37.36.0/24	Hainan University China
210.37.37.0/24	Hainan University China
210.37.38.0/24	Hainan University China
210.37.39.0/24	Hainan University China
210.37.40.0/24	Hainan University China
210.37.41.0/24	Hainan University China
210.37.42.0/24	Hainan University China
210.37.43.0/24	Hainan University China
210.37.44.0/24	Hainan University China
210.37.45.0/24	Hainan University China
210.37.46.0/24	Hainan University China
210.37.47.0/24	Hainan University China
210.37.48.0/20	South China University of Tropical Agriculture China
210.37.60.0/22	South China University of Tropical Agriculture China
210.37.64.0/20	Hainan Medical College China
210.37.64.0/24	Hainan Medical College China
210.37.80.0/20	Haikou College of Economics and Vocational Technology China
210.37.80.0/21	Haikou College of Economics and Vocational Technology China
210.37.88.0/21	Haikou College of Economics and Vocational Technology China
210.37.96.0/21	HaiNan Middle School China
210.37.96.0/24	HaiNan Middle School China
210.37.97.0/24	HaiNan Middle School China
210.37.120.0/21	Hai Nan Telecast University China
210.37.120.0/24	Hai Nan Telecast University China
210.37.144.0/20	Qiongzhou University China
210.37.145.0/24	Qiongzhou University China
210.38.0.0/16	China Education and Research Network China
210.38.0.0/24	Guang Dong Education & Research Network Center China
210.38.2.0/24	Guang Dong Education & Research Network Center China
210.38.3.0/24	Guang Dong Education & Research Network Center China
210.38.32.0/24	Guangdong Radio and TV University China
210.38.56.0/22	Guangzhou Medical College China
210.38.60.0/22	Guangzhou Medical College China
210.38.64.0/20	Guangdong College Of Education China
210.38.64.0/24	Guangdong College Of Education China
210.38.96.0/20	Guangzhou University Of Tradicinal Chinese Medicine China
210.38.112.0/21	Panyu Polytechnic Institute China
210.38.112.0/24	Panyu Polytechnic Institute China
210.38.120.0/24	Nanhua Industrial And Commercial College China
210.38.128.0/20	Zhanjiang Ocean University China
210.38.144.0/20	China Education and Research Network China
210.38.160.0/24	Jiaying University China
210.38.192.0/24	Guangdong Shaoguan University China
210.38.208.0/24	Hanshan Teachers' College China
210.38.224.0/24	Zhongshan College China
210.38.240.0/24	Guangdong Petrochemical Academy China
210.39.0.0/16	China Education and Research Network China
210.39.0.0/20	Shenzhen University China
210.39.0.0/24	Shenzhen University China
210.39.3.0/24	Shenzhen University China
210.39.15.0/24	Shenzhen University China
210.39.16.0/22	CERNet Corporation(shenzhen) China
210.39.32.0/21	Shenzhen Polytech China
210.39.32.0/24	Shenzhen Polytech China
210.39.40.0/22	China Education and Research Network China
210.39.43.0/24	China Education and Research Network China
210.39.44.0/24	China Education and Research Network China
210.39.104.0/22	GuangDong Vocational & Technical College Of Chemical China
210.39.104.0/24	GuangDong Vocational & Technical College Of Chemical China
210.40.0.0/18	China Education and Research Network China
210.40.0.0/24	Guizhou University China
210.40.1.0/24	Guizhou University China
210.40.2.0/24	Guizhou University China
210.40.3.0/24	Guizhou University China
210.40.6.0/24	Guizhou University China
210.40.32.0/20	Guizhou Institute of Technology China
210.40.32.0/24	Guizhou Institute of Technology China
210.40.62.0/23	Guizhou Institute of Agricultural China
210.40.63.0/24	Guizhou Institute of Agricultural China
210.40.64.0/18	China Education and Research Network China
210.40.64.0/24	Guizhou Normal University China
210.40.80.0/24	Guizhou Institute of Finance & Economics China
210.40.112.0/22	Guizhou Education And Research Network Center China
210.40.112.0/24	Guizhou Education And Research Network Center China
210.40.116.0/22	Guiyang Education MAN China
210.40.128.0/19	China Education and Research Network China
210.40.128.0/24	National College Of Guizhou China
210.40.144.0/24	Guiyang College Of Traditional Chinese Medicine China
210.40.160.0/20	Guiyang Medical College China
210.40.160.0/24	Guiyang Medical College China
210.40.176.0/20	China
210.40.176.0/24	China
210.40.192.0/18	China Education and Research Network China
210.40.208.0/21	Yunnan Public Security College China
210.40.216.0/21	Mengzi Teachers' College China
210.40.216.0/24	Mengzi Teachers' College China
210.40.224.0/24	Qujing Normal College China
210.41.0.0/22	University of Tibet China
210.41.4.0/22	University of Tibet China
210.41.4.0/24	University of Tibet China
210.41.5.0/24	University of Tibet China
210.41.8.0/21	University of Tibet China
210.41.16.0/22	Tibet Autonomous Region Education & Research Network Center China
210.41.20.0/24	Tibet Autonomous Regional Admission Commission China
210.41.32.0/20	Fuling Teachers College China
210.41.32.0/24	Fuling Teachers College China
210.41.56.0/21	China
210.41.64.0/21	Sichuan Higher Institute Of Cuisine China
210.41.72.0/21	Yibin Teacher's College China
210.41.80.0/20	Southwest Jiaotong University China
210.41.96.0/20	University Of Electronic Science And Technology Of China China
210.41.102.0/24	University Of Electronic Science And Technology Of China China
210.41.112.0/21	Kangding Nationality Teacher's College China
210.41.112.0/24	Kangding Nationality Teacher's College China
210.41.113.0/24	Kangding Nationality Teacher's College China
210.41.114.0/24	Kangding Nationality Teacher's College China
210.41.115.0/24	Kangding Nationality Teacher's College China
210.41.126.0/23	Sichuan Institute of Light Industry and Chemical Technology China
210.41.128.0/20	Panzhihua University China
210.41.128.0/24	Panzhihua University China
210.41.152.0/21	Mian Yang Teachers' College China
210.41.152.0/24	Mian Yang Teachers' College China
210.41.160.0/20	Leshan Teachers College China
210.41.160.0/24	Leshan Teachers College China
210.41.176.0/21	Neijiang Teacher's College China
210.41.176.0/24	Neijiang Teacher's College China
210.41.184.0/22	Mianyang Economy & Technology College China
210.41.188.0/22	Chengdu RTV University China
210.41.188.0/24	Chengdu RTV University China
210.41.192.0/20	Sichuan Teacher's College China
210.41.192.0/24	Sichuan Teacher's College China
210.41.208.0/21	Chengdu University Of Traditional Chinese Medicine China
210.41.216.0/23	Chengdu University Of Traditional Chinese Medicine China
210.41.218.0/23	Chengdu University Of Traditional Chinese Medicine China
210.41.220.0/22	Chengdu University Of Traditional Chinese Medicine China
210.41.222.0/24	Chengdu University Of Traditional Chinese Medicine China
210.41.224.0/20	Chengdu Institute Of Meteorology China
210.41.224.0/24	Chengdu Institute Of Meteorology China
210.41.225.0/24	Chengdu Institute Of Meteorology China
210.41.226.0/24	Chengdu Institute Of Meteorology China
210.41.227.0/24	Chengdu Institute Of Meteorology China
210.41.228.0/24	Chengdu Institute Of Meteorology China
210.41.229.0/24	Chengdu Institute Of Meteorology China
210.41.230.0/24	Chengdu Institute Of Meteorology China
210.41.231.0/24	Chengdu Institute Of Meteorology China
210.41.232.0/24	Chengdu Institute Of Meteorology China
210.41.233.0/24	Chengdu Institute Of Meteorology China
210.41.240.0/20	Southwest Petroleum Institute China
210.41.240.0/24	Southwest Petroleum Institute China
210.41.241.0/24	Southwest Petroleum Institute China
210.41.242.0/24	Southwest Petroleum Institute China
210.41.243.0/24	Southwest Petroleum Institute China
210.41.244.0/24	Southwest Petroleum Institute China
210.41.245.0/24	Southwest Petroleum Institute China
210.41.246.0/24	Southwest Petroleum Institute China
210.41.248.0/24	Southwest Petroleum Institute China
210.41.250.0/24	Southwest Petroleum Institute China
210.41.251.0/24	Southwest Petroleum Institute China
210.41.254.0/23	Southwest Petroleum Institute China
210.41.254.0/24	Southwest Petroleum Institute China
210.42.0.0/16	China Education and Research Network China
210.42.0.0/20	China Education and Research Network China
210.42.8.0/21	Yun Yang Teachers College China
210.42.16.0/24	Jingzhou Teachers College China
210.42.24.0/21	China
210.42.24.0/24	China
210.42.32.0/20	University Of Hydraulic And Electric Engineering At Yichang China
210.42.35.0/24	University Of Hydraulic And Electric Engineering At Yichang China
210.42.48.0/20	Naval Academy Of Engineering China
210.42.54.0/24	Naval Academy Of Engineering China
210.42.64.0/22	Hubei Educational Examination House China
210.42.72.0/21	Wuhan Education Institute China
210.42.72.0/24	Wuhan Education Institute China
